Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Language
Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,77%,True,False,False,False,True,English
Knightfall,2017,16+,6.8,60%,True,False,False,False,True,English
Kim's Convenience,2016,16+,8.1,,True,False,False,False,True,English
Kengan Ashura,2019,,8.0,,True,False,False,False,True,Japanese
Spotless,2015,,7.9,100%,True,False,False,False,True,French
Carmen Sandiego,2019,7+,7.9,93%,True,False,False,False,True,English
Inside Bill's Brain: Decoding Bill Gates,2019,16+,8.0,50%,True,False,False,False,True,English
Saint Seiya,1986,7+,8.4,,True,False,True,False,True,Japanese
Flint Town,2018,18+,8.0,95%,True,False,False,False,True,English
Rake,2010,16+,8.6,100%,True,True,True,False,True,English
Rilakkuma and Kaoru,2019,7+,8.4,100%,True,False,False,False,True,Japanese
Scooby-Doo! Mystery Incorporated,2010,7+,8.0,,True,False,False,False,True,English
anohana: The Flower We Saw That Day,2011,16+,8.2,,True,False,False,False,True,[]
Africa,2013,all,9.0,,True,False,False,False,True,English
The Frankenstein Chronicles,2015,16+,7.3,78%,True,False,False,False,True,English
Meteor Garden,2018,16+,8.2,,True,False,False,False,True,Chinese
Wu Assassins,2019,18+,6.4,83%,True,False,False,False,True,English
The Black Donnellys,2007,16+,8.1,40%,True,False,False,False,True,English
H2O: Just Add Water,2006,all,7.2,,True,True,True,False,True,English
Collateral,2018,7+,6.7,78%,True,False,False,False,True,English
1983,2018,18+,6.8,100%,True,False,False,False,True,Polish
November 13: Attack on Paris,2018,18+,8.3,100%,True,False,False,False,True,French
Black Butler,2008,16+,7.8,,True,True,False,False,True,Japanese
Green Eggs and Ham,2019,,8.2,100%,True,False,False,False,True,English
The Confession Tapes,2017,16+,7.5,100%,True,False,False,False,True,English
Bad Blood,2017,18+,7.5,80%,True,False,False,False,True,English
Formula 1: Drive to Survive,2019,16+,8.6,,True,False,False,False,True,English
The Great British Bake Off,2010,7+,8.6,,True,False,False,False,True,English
The Trials of Gabriel Fernandez,2020,18+,8.2,80%,True,False,False,False,True,English
Ugly Delicious,2018,18+,7.8,100%,True,False,False,False,True,English
The Night Shift,2014,16+,7.4,30%,True,False,False,False,True,English
Impractical Jokers,2011,16+,8.5,,True,False,False,False,True,English
The Andy Griffith Show,1960,all,8.3,,True,False,True,False,True,English
Itaewon Class,2020,,8.2,,True,False,False,False,True,Korean
Aquarius,2015,16+,7.1,77%,True,False,False,False,True,English
Caliphate,2020,,8.2,,True,False,False,False,True,[]
Black Summer,2019,18+,6.4,75%,True,False,False,False,True,English
Bonding,2019,16+,7.2,64%,True,False,False,False,True,English
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,,True,False,False,False,True,[]
Animaniacs,1993,all,7.9,,True,True,False,False,True,English
When Calls the Heart,2014,all,8.2,,True,False,False,False,True,English
Young & Hungry,2014,16+,7.4,60%,True,False,False,False,True,English
Club de Cuervos,2015,18+,8.2,80%,True,False,False,False,True,Spanish
I'm Sorry,2017,7+,7.9,75%,True,False,False,False,True,English
The Universe,2007,16+,8.8,,True,False,False,False,True,[]
The Chalet,2018,18+,7.0,100%,True,False,False,False,True,[]
My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%,True,False,False,False,True,[]
Still Game,2002,16+,8.9,,True,False,False,False,True,English
NOVA,1974,7+,8.7,,True,False,True,False,True,English
The Confession Killer,2019,16+,7.4,100%,True,False,False,False,True,English
Father Brown,2013,7+,7.7,,True,False,False,False,True,English
Bordertown,2016,7+,7.6,39%,True,False,False,False,True,English
Battle Creek,2015,16+,7.3,96%,True,False,False,False,True,English
Valhalla Murders,2019,18+,7.1,,True,False,False,False,True,[]
Scream: The TV Series,2015,16+,7.2,,True,False,False,False,True,English
Special,2019,18+,7.6,95%,True,False,False,False,True,English
CSI: Miami,2002,16+,6.4,,True,True,False,False,True,English
3Below: Tales of Arcadia,2018,7+,7.8,100%,True,False,False,False,True,English
Mystery Science Theater 3000: The Return,2017,16+,8.0,100%,True,False,False,False,True,[]
Dear White People,2017,16+,6.2,95%,True,False,False,False,True,English
LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,,True,False,True,False,True,English
The English Game,2020,,7.6,67%,True,False,False,False,True,English
White Gold,2017,18+,7.4,88%,True,False,False,False,True,English
Crazyhead,2016,,7.3,100%,True,False,False,False,True,English
The Protector,2018,16+,6.9,,True,False,False,False,True,Turkish
Dirty John,2018,16+,7.1,71%,True,False,False,False,True,English
Get Shorty,2017,18+,8.2,,True,False,False,False,True,English
30 for 30,2009,7+,8.8,,True,False,False,False,True,English
Bard of Blood,2019,,7.0,,True,False,False,False,True,Hindi
The Great Train Robbery,2013,,7.4,78%,True,False,False,False,True,English
Devilman: Crybaby,2018,,7.6,80%,True,False,False,False,True,[]
Good Witch,2015,7+,7.3,,True,False,False,False,True,English
It's Bruno!,2019,7+,7.5,100%,True,False,False,False,True,English
Gurren Lagann,2007,16+,8.3,,True,False,False,False,True,[]
Gentefied,2020,16+,7.3,88%,True,False,False,False,True,English
Victorious,2010,7+,6.9,,True,False,False,False,True,English
Dynasty,2017,16+,7.3,,True,False,False,False,True,English
The Curious Creations of Christine McConnell,2018,7+,7.7,100%,True,False,False,False,True,English
