Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
The 4400,2004,7+,7.3,95%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction', 'Mystery']"
The Borgias,2011,18+,7.9,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance', 'History']"
Marco Polo,2014,18+,8,67%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Adventure']"
Queer Eye,2018,16+,8.5,91%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Spy,2019,18+,7.9,86%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Espionage']"
Love,2016,18+,7.7,94%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
Designated Survivor,2016,7+,7.5,71%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller']"
Ripper Street,2012,18+,8.1,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Feel Good,2020,,7.5,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
Hell on Wheels,2011,16+,8.3,72%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Western']"
The Fosters,2013,16+,7.9,97%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Family', 'Romance']"
Hawaii Five-0,2010,16+,7.3,82%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Marvel's The Defenders,2017,18+,7.3,78%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Allo 'Allo!,1984,7+,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Supergirl,2015,7+,6.3,88%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Science-Fiction']"
Star Trek: Voyager,1995,7+,7.8,77%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Action', 'Adventure', 'Science-Fiction']"
Limitless,2015,16+,7.7,57%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Science-Fiction']"
Messiah,2020,18+,7.7,44%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Mystery']"
The Shannara Chronicles,2016,16+,7.2,77%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Adventure', 'Fantasy']"
Crash Landing on You,2019,16+,8.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Bleach,2004,18+,8.1,,TRUE,TRUE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Anime', 'Fantasy']"
Top Boy,2011,18+,8.4,95%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Jonathan Strange & Mr Norrell,2015,16+,8.2,91%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Haven,2010,16+,7.5,63%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Supernatural']"
Queen of the South,2016,16+,7.9,66%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Delhi Crime,2019,,8.5,91%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
Hart of Dixie,2011,7+,7.7,81%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Bloodline,2015,18+,8,62%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Mystery']"
Middleditch & Schwartz,2020,18+,8.7,100%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Haikyu!!,2014,16+,8.7,,TRUE,TRUE,FALSE,FALSE,TRUE,[]
Dirty Money,2018,16+,8.1,100%,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Crime', 'Mystery']"
Babylon Berlin,2017,18+,8.4,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
That '70s Show,1998,16+,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Magicians,2015,16+,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Adventure', 'Fantasy']"
Chef's Table,2015,all,8.6,100%,TRUE,FALSE,FALSE,FALSE,TRUE,['Food']
TURN: Washington's Spies,2014,16+,8.1,81%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Crazy Ex-Girlfriend,2015,16+,7.8,98%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Music']"
Soul Eater,2008,16+,7.8,100%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Comedy', 'Action', 'Adventure', 'Anime']"
Lost Girl,2010,16+,7.7,65%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'Horror']"
Wynonna Earp,2016,16+,7.4,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Horror', 'Western']"
Merlin,2008,7+,7.9,,TRUE,TRUE,TRUE,FALSE,TRUE,"['Adventure', 'Fantasy']"
Galavant,2015,7+,8.1,89%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Fantasy', 'Music']"
Travelers,2016,16+,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Science-Fiction']"
Hilda,2018,7+,8.6,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Children', 'Fantasy']"
The Originals,2013,16+,8.2,27%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance', 'Supernatural']"
Episodes,2011,18+,7.8,80%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Absolutely Fabulous,1992,16+,8.1,96%,TRUE,TRUE,FALSE,FALSE,TRUE,['Comedy']
Living with Yourself,2019,18+,7.2,84%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Science-Fiction']"
Malcolm in the Middle,2000,7+,8,,TRUE,TRUE,FALSE,FALSE,TRUE,['Comedy']
F is for Family,2015,18+,8,86%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Keepers,2017,16+,8.1,96%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'History']"
Cheer,2020,16+,8.2,96%,TRUE,FALSE,FALSE,FALSE,TRUE,['Sports']
